threshold,seed,steps,eats,danger,deaths,mb_firing_mean,final_mirror,final_collapse
0.2,1,4000,165,37,0,0.06710416666666666,0.5572860418924069,0.5544125964003648
0.2,7,4000,180,37,0,0.06705416666666666,0.5889794782366436,0.5524432506447065
0.2,8,4000,182,42,0,0.06707083333333333,0.5759753850350617,0.5724513927477247
0.2,2,4000,177,29,0,0.06734791666666666,0.5544130433853731,0.5680245884979723
0.2,3,4000,173,33,0,0.06700416666666667,0.5679556173421579,0.5583583480466813
0.2,4,4000,168,28,0,0.06704791666666667,0.580283490265812,0.5811841469251467
0.2,6,4000,182,35,0,0.06656354166666667,0.5265376389213635,0.5476170451445329
0.2,5,4000,178,47,0,0.06728541666666668,0.5681385340620443,0.5918507915898171
0.2,11,4000,185,30,0,0.06726354166666666,0.5655898293613473,0.5915116409089314
0.2,9,4000,191,30,0,0.067159375,0.5839097363155307,0.600185144800121
0.2,10,4000,188,34,0,0.06640104166666667,0.5747861672860398,0.5743147202722081
0.2,12,4000,200,18,0,0.06725520833333334,0.6098582592822519,0.5686832361797071
0.2,14,4000,155,23,0,0.06744999999999998,0.5610366837843046,0.5554384776977206
0.2,13,4000,157,26,0,0.067275,0.5854334749861644,0.5687428210953676
0.35,7,4000,145,45,0,0.032015625,0.5782583055061156,0.5562670443008696
0.35,2,4000,168,34,0,0.03190208333333333,0.5692400151679817,0.5670251563358024
0.35,1,4000,165,49,0,0.0317125,0.5717370690338267,0.5775373053477152
0.35,6,4000,178,29,0,0.031803125,0.5975043409459709,0.5515157284679686
0.35,4,4000,165,34,0,0.032196875,0.5904939701933993,0.6027135672350631
0.35,5,4000,173,34,0,0.031914583333333336,0.5830581411237056,0.5736519252964954
0.35,3,4000,190,29,0,0.03195312499999999,0.5714150852279309,0.5455771184256392
0.35,9,4000,170,49,0,0.03207916666666667,0.6024150528461828,0.582794687970739
0.2,15,4000,198,18,0,0.06706666666666665,0.5619219121473322,0.5743169864613129
0.35,8,4000,195,42,0,0.031754166666666674,0.5890001294743803,0.6816153721501701
0.35,14,4000,156,22,0,0.03232395833333333,0.5848514450716155,0.5915399814300402
0.35,13,4000,162,34,0,0.03193854166666667,0.5807506395596622,0.5934838733055569
0.35,12,4000,165,18,0,0.031901041666666664,0.6156346225188751,0.5677711585458606
0.35,11,4000,188,18,0,0.03215520833333334,0.586265707872702,0.5645212425403464
0.35,10,4000,207,33,0,0.03166145833333334,0.5815993130903829,0.5705402124891612
0.5,1,4000,174,46,0,0.014860416666666664,0.5811673900840543,0.5790996813340517
0.5,3,4000,171,35,0,0.015038541666666665,0.5932135382298147,0.6028727926842175
0.5,4,4000,170,56,0,0.014885416666666668,0.5820814612989567,0.6247650475444906
0.35,15,4000,197,35,0,0.03174375,0.5859182646324466,0.5694357959706728
0.5,2,4000,194,38,0,0.0150375,0.5303611596474309,0.5884013908005333
0.5,5,4000,170,27,0,0.015098958333333334,0.566570290608732,0.6062813134111087
0.5,6,4000,178,49,0,0.014938541666666666,0.5571463130130185,0.5677654354951077
0.5,8,4000,156,33,0,0.014648958333333332,0.5981797927791007,0.5693232499716706
0.5,9,4000,161,26,0,0.014873958333333331,0.5755666162510911,0.6088889393890308
0.5,11,4000,159,24,0,0.015196874999999999,0.5869575082346171,0.6011406628505744
0.5,7,4000,202,26,0,0.015050000000000003,0.5840701312787734,0.5888876910638129
0.5,10,4000,202,25,0,0.014856249999999998,0.5712148418427414,0.6024903356843299
0.5,12,4000,176,32,0,0.014837499999999998,0.5653785886126391,0.6303829379626932
0.7,3,4000,163,31,0,0.004568750000000001,0.5867363008112255,0.5941830340207547
0.5,13,4000,187,46,0,0.015001041666666664,0.6076230122433549,0.5485517118740912
0.7,1,4000,172,35,0,0.0046010416666666665,0.5222296372517123,0.5708891575040452
0.5,14,4000,183,15,0,0.015069791666666669,0.5955656647888357,0.5648406687831649
0.7,2,4000,181,33,0,0.004494791666666667,0.560311331455371,0.5753830881937197
0.5,15,4000,186,17,0,0.0149625,0.5321761108217068,0.5764250343328315
0.7,4,4000,165,47,0,0.004461458333333333,0.5710294006442216,0.6957906920308273
0.7,7,4000,177,21,0,0.004611458333333334,0.5584474397934335,0.5471553530434419
0.7,5,4000,187,49,0,0.004498958333333334,0.5716831404351705,0.5695130348490902
0.7,6,4000,189,38,0,0.0045625,0.5422054640456594,0.5571422825226748
0.7,13,4000,165,41,0,0.004482291666666667,0.6374145137225398,0.5715720575441625
0.7,8,4000,165,47,0,0.004447916666666667,0.5950460875751176,0.57979674313529
0.7,9,4000,178,30,0,0.004594791666666667,0.6029869173470561,0.6298130795591161
0.7,14,4000,179,18,0,0.0046343750000000005,0.6022339929944874,0.5641776129310916
0.7,12,4000,182,51,0,0.0045854166666666665,0.5849984395144718,0.5586337855485723
