condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,danger_rate_pct,deaths,total_shelter,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_presence,final_collapse_index,final_closure_depth,ms_per_step,elapsed_s
FULL,FULL,13,5000,217,4.34,54,1.08,0,14,1208,30,0.5710154758080883,0.6363636363636364,0.9995965361595154,0.96627668422995,0.8920424041961087,2,7.319563198089599,36.597815990448
FULL,FULL,14,5000,234,4.68,17,0.33999999999999997,0,42,1208,25,0.5967008927452805,0.9375,0.9999845325946808,0.9692591204922351,0.89842100127079,1,7.435427570343018,37.17713785171509
FULL,FULL,16,5000,219,4.38,37,0.74,0,12,1208,19,0.5723051086658854,1.0,0.9999350309371948,0.9658050287391591,0.9065102602227275,3,7.415085363388061,37.07542681694031
FULL,FULL,18,5000,218,4.36,50,1.0,0,25,1208,8,0.6112164340146591,0.8421052631578947,0.999620258808136,0.9669676159475291,0.9082708341573311,3,7.40924105644226,37.046205282211304
FULL,FULL,17,5000,228,4.5600000000000005,52,1.04,0,12,1208,21,0.5867412078751607,0.5,0.9996748864650726,0.9665526917328324,0.8661333040513396,2,7.471739912033081,37.358699560165405
FULL,FULL,19,5000,230,4.6,36,0.72,0,16,1208,10,0.5518632833921433,0.7678571428571429,0.9995753169059753,0.9631277999137768,0.9059121913273892,3,7.519078588485717,37.59539294242859
FULL,FULL,21,5000,228,4.5600000000000005,29,0.58,0,12,1208,17,0.5716312955878412,0.8076923076923077,0.9999056160449982,0.9630886741268704,0.8981213906095479,3,7.492229461669922,37.46114730834961
FULL,FULL,15,5000,250,5.0,28,0.5599999999999999,0,8,1208,20,0.5841458958483721,0.96,0.9999257326126099,0.9706188524533901,0.8993370407154191,3,7.631246709823609,38.15623354911804
FULL,FULL,22,5000,231,4.62,50,1.0,0,45,1208,23,0.5885561166268665,0.8,0.9990156888961792,0.9678235817714418,0.9019062095355205,2,7.473385286331177,37.366926431655884
FULL,FULL,20,5000,246,4.92,47,0.9400000000000001,0,33,1208,14,0.6091545989944456,0.6363636363636364,0.9996480941772461,0.9627613687748807,0.9013598319687919,2,7.590972852706909,37.954864263534546
FULL,FULL,24,5000,231,4.62,37,0.74,0,17,1208,22,0.6130617125813889,0.7692307692307693,0.9997445344924927,0.973292009666274,0.8785527244293253,2,7.470613098144531,37.353065490722656
FULL,FULL,23,5000,230,4.6,42,0.84,0,23,1208,27,0.5957285348807463,0.8095238095238095,0.9992096126079559,0.9625429301784679,0.8834532472591801,3,7.525822448730469,37.629112243652344
FULL,FULL,25,5000,238,4.760000000000001,44,0.88,0,9,1208,20,0.57116188071185,0.9117647058823529,0.999782383441925,0.9652617552700885,0.8725359202840584,2,7.437931966781616,37.18965983390808
FULL,FULL,27,5000,217,4.34,44,0.88,0,43,1208,18,0.542829048383427,0.8285714285714286,0.9996218085289001,0.9679732731331951,0.8897274474628758,2,7.292370080947876,36.46185040473938
FULL,FULL,26,5000,233,4.66,47,0.9400000000000001,0,52,1208,24,0.5663795961215246,0.8214285714285714,0.9985323250293732,0.965612908526077,0.8972744191170593,3,7.348007917404175,36.740039587020874
FULL,FULL,30,5000,213,4.26,34,0.6799999999999999,0,18,1208,28,0.5767979741117779,0.8974358974358975,0.9982922077178955,0.9683456608308257,0.8908129816681294,2,7.332008171081543,36.660040855407715
FULL,FULL,29,5000,240,4.8,46,0.9199999999999999,0,27,1208,24,0.5523885398375846,0.6666666666666666,0.9996800124645233,0.9665143173987387,0.8995177890462982,3,7.426608610153198,37.13304305076599
FULL,FULL,28,5000,242,4.84,37,0.74,0,28,1208,28,0.5975674632885599,0.9555555555555556,0.9986969828605652,0.9657955831922269,0.8819934645342211,2,7.492708015441894,37.46354007720947
no-spatial-map,spatial_map,1,5000,302,6.04,75,1.5,0,17,1208,20,0.5420595596250477,0.6,0.9998267889022827,0.9639630406061368,0.9096012360999727,3,7.828450441360474,39.14225220680237
no-spatial-map,spatial_map,4,5000,287,5.74,98,1.96,0,21,1208,25,0.5604566539998557,0.9333333333333333,0.9997328221797943,0.9629600547272812,0.8953516766594727,1,7.827333116531372,39.13666558265686
no-spatial-map,spatial_map,3,5000,319,6.38,103,2.06,0,22,1208,27,0.5549666453671622,0.7407407407407407,0.9996808171272278,0.9618481975396734,0.8907427386933031,3,7.849606513977051,39.248032569885254
