seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,mirror,awareness_idx,collapse,presence,self_pe
3,500,21,13,0,0.9911632260084152,0.008419999999999999,0.07964504510164261,0.04529445245862007,0.2689642608165741,0.5524304926520914,0.0,0.6440744238544145,0.963302088617644,0.2105054753263618
3,1000,50,19,0,0.9675929143190384,0.00858,0.07941439002752304,0.045484527945518494,0.26892536878585815,0.5743626536969237,1.0,0.5485892155800678,0.9782390758179874,0.11271440738327858
3,1500,77,26,1,0.8102540422677998,0.009065,0.07920025289058685,0.04573681950569153,0.2688891589641571,0.5572001273673199,0.9090909090909091,0.7603532615649004,0.9654961604823146,0.2418239610524956
3,2000,110,36,4,0.992646415424347,0.00927,0.07893930375576019,0.046040091663599014,0.2688449025154114,0.5495752394870503,0.6842105263157895,0.9051100714277858,0.965226049176328,0.21059464071831058
3,2500,147,36,4,0.9674055953502653,0.009075,0.07864774763584137,0.04643633961677551,0.26879528164863586,0.544996041102128,0.8214285714285714,0.8667591743553003,0.9670056211448644,0.2039628532449755
3,3000,170,36,6,0.9837551667690279,0.00904,0.07846704870462418,0.04670396074652672,0.26887044310569763,0.5676031258185427,0.8666666666666667,0.8038261828880009,0.9647798838389532,0.15112414161707108
3,3500,190,36,7,0.9955800553560257,0.00949,0.07831025868654251,0.046952664852142334,0.2971556782722473,0.5698358046040833,0.85,0.7081293564179588,0.9703101102012646,0.1553772139287077
3,4000,205,36,8,0.7431298257589338,0.008845,0.07819286733865738,0.047152332961559296,0.32436928153038025,0.5106941174776594,0.6363636363636364,0.5440428786136776,0.9774327728323948,0.05822597272979901
3,4500,241,42,8,0.8330489861965181,0.009075,0.0779118686914444,0.0476587638258934,0.36430904269218445,0.5452265357825883,0.8620689655172413,0.7904148419858004,0.970968342561944,0.08362609309135656
3,5000,277,54,10,0.9660077749967576,0.00928,0.0776318684220314,0.048199042677879333,0.36424359679222107,0.559168252446645,0.9166666666666666,0.8941227296464601,0.967905375201709,0.21941767867005918
3,5500,296,54,11,0.9705362709283828,0.009475,0.07748450338840485,0.048519544303417206,0.36420905590057373,0.5413212676134448,0.6923076923076923,0.8350023400844139,0.9694810257169898,0.12896017287445632
3,6000,322,54,12,0.9955596982479096,0.00949,0.07728329300880432,0.04897644370794296,0.36416178941726685,0.5497969639538118,0.8095238095238095,0.8065525947248839,0.9627286938335841,0.15155153629139434
3,6500,337,54,12,0.9425952800512313,0.009955,0.07716744393110275,0.04923749342560768,0.3809153437614441,0.5463828765307379,0.8857142857142857,0.702799169958135,0.9647121974511984,0.129139984128089
3,7000,361,64,14,0.7035207053184515,0.009380000000000001,0.07698245346546173,0.04969616234302521,0.39739325642585754,0.5537977817470268,0.875,0.5778479490905153,0.9678948824183434,0.05098475852796646
3,7500,399,66,15,0.8401783526182173,0.009819999999999999,0.07669045776128769,0.050457119941711426,0.41114434599876404,0.5823207940784363,0.9302325581395349,0.7832548542397336,0.9636328179551256,0.19615806330609298
3,8000,421,66,18,0.9159146990299222,0.010495,0.07652191817760468,0.0509205088019371,0.4207513630390167,0.5858774187659526,0.8823529411764706,0.8945172656337614,0.9649394521864879,0.12938980410457024
3,8500,443,66,20,1.0,0.009935,0.07635373622179031,0.05139899626374245,0.42070481181144714,0.5719291089527289,0.6829268292682927,0.8392991035149955,0.9639631409575937,0.18956216189329214
3,9000,460,66,23,0.9557769646406172,0.010564999999999998,0.07622403651475906,0.05179232358932495,0.4206688404083252,0.5505981150226021,0.6875,0.7992469823695405,0.9633164477257903,0.13369171675775932
3,9500,481,66,25,0.992621113538742,0.010265,0.07606412470340729,0.052312832325696945,0.42062440514564514,0.5676001547119878,0.7222222222222222,0.7042030799054825,0.9629912933899688,0.14661560991339542
3,10000,507,70,28,0.7093919018507002,0.011484999999999999,0.07586661726236343,0.05295095965266228,0.4770967960357666,0.5930868001190142,0.875,0.5629498872886585,0.9682774411616026,0.06716097873447206
3,10500,529,74,32,0.9848316640377043,0.01018,0.07569988071918488,0.05350310355424881,0.48367270827293396,0.5840194466063559,0.6666666666666666,0.7986625156332374,0.967478531371208,0.1610257681690554
3,11000,570,81,35,1.0,0.01009,0.07539767771959305,0.05459962412714958,0.4835761487483978,0.5788328594463622,0.875,0.8968545886912938,0.9699184065590069,0.11890530923451191
3,11500,597,81,39,0.9881590630054474,0.010195,0.0751868411898613,0.05533762648701668,0.48350855708122253,0.60526950575552,0.8333333333333334,0.8577610544048659,0.972562143233618,0.22993495964776528
3,12000,620,81,42,1.0,0.01005,0.07501409202814102,0.05602485314011574,0.505273163318634,0.6072681632973994,0.85,0.8302932695521944,0.968194396665922,0.20160390333639006
3,12500,636,81,45,0.9733646118402483,0.010520000000000002,0.07489417493343353,0.05647037550806999,0.505233108997345,0.5656938251455452,0.8695652173913043,0.6932985261714274,0.9627717777903332,0.10079998305643581
3,13000,658,81,48,0.6924041726827619,0.01172,0.07472957670688629,0.05712485685944557,0.5204079747200012,0.5698305744307728,0.7419354838709677,0.5389810972818995,0.9815478447881331,0.0775234963809227
3,13500,692,84,50,0.8431813959598545,0.01023,0.07447591423988342,0.05815563723444939,0.5603184700012207,0.5755570151257875,0.6,0.7864337173634831,0.9634403498851671,0.22042814249592352
3,14000,721,86,54,0.9985216591596603,0.011074999999999998,0.07426023483276367,0.05909181758761406,0.5602372288703918,0.5766709098025351,0.8,0.8870221023283376,0.963647481932125,0.2565151032128666
3,14500,743,86,58,0.9940955666780472,0.01053,0.07409702986478806,0.05977853387594223,0.5703744292259216,0.5859538319847117,0.6896551724137931,0.8473146576201348,0.964614474230193,0.1458730732689091
3,15000,762,86,61,0.9896945426940918,0.01205,0.07395636290311813,0.060364730656147,0.5703200697898865,0.5576684363287673,0.8125,0.801546964871543,0.9637608710744975,0.28452569189319254
3,15500,774,86,64,0.9955676337957382,0.01081,0.07386766374111176,0.06076984852552414,0.6102843284606934,0.6290544373312807,0.6842105263157895,0.6790237257979791,0.9626306699117146,0.13565040077808244
