seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,cx_to_motor_w_mean,lh_to_motor_w_mean,seg_to_motor_w_mean,vis_to_mush_w_mean,mirror,awareness_idx,collapse,presence,self_pe
2,1000,52,16,0,0.5909936643362039,0.00838,0.07936440408229828,0.04537659138441086,0.27756163477897644,0.07221273332834244,0.08337332308292389,0.046866703778505325,0.045315228402614594,0.5345186998488295,0.95,0.5458592728654681,0.9868673068081701,0.06755526981336318
2,2000,98,20,3,0.9985200834512711,0.00883,0.07900012284517288,0.04578956961631775,0.27749720215797424,0.08045879006385803,0.0909840539097786,0.049387019127607346,0.045439597219228745,0.5483195143217405,0.4444444444444444,0.8986986561121557,0.9673659826317559,0.1450786428690365
2,3000,142,31,9,0.9970417416810989,0.008985,0.07865327596664429,0.046221159398555756,0.31743431091308594,0.09060964733362198,0.10081738233566284,0.052685271948575974,0.04556088149547577,0.5996631537075675,0.8148148148148148,0.8084440842918315,0.9692711649109714,0.15323695153019892
2,4000,179,37,16,0.9281494718551639,0.00928,0.07836277037858963,0.046630121767520905,0.31737586855888367,0.10065656900405884,0.11041844636201859,0.05606915056705475,0.04566828906536102,0.5784002451685102,0.9230769230769231,0.6052218347547919,0.9725699923561624,0.09277392853433343
2,5000,238,57,21,1.0,0.00913,0.07790175080299377,0.047417573630809784,0.31728267669677734,0.11705224961042404,0.12655028700828552,0.06215078756213188,0.04584459960460663,0.5692634687032463,0.5294117647058824,0.9015727250884306,0.9674136277579183,0.1680336930284965
2,6000,274,57,29,0.9586172857284544,0.009455,0.07762178778648376,0.0479513518512249,0.35809722542762756,0.12755046784877777,0.13680613040924072,0.06636226177215576,0.04595274478197098,0.6049110766131857,0.7272727272727273,0.8072494626249953,0.9679397911109798,0.13080798604877336
2,7000,329,62,35,0.7172479310512554,0.00931,0.07719600945711136,0.04892649129033089,0.3979880213737488,0.14432589709758759,0.15336984395980835,0.07300328463315964,0.046128835529088974,0.5920801380743319,0.8571428571428571,0.5836077176726417,0.9879199377453587,0.0659886217067748
2,8000,384,62,38,0.9911435830831528,0.0095,0.07677258551120758,0.05000230669975281,0.437871515750885,0.16113875806331635,0.1702479124069214,0.08035967499017715,0.046306561678647995,0.6468785594123945,0.8260869565217391,0.8987279032118483,0.9706862033002821,0.2775725244007555
2,9000,436,62,43,0.9940976976394653,0.010015,0.07637438178062439,0.051091935485601425,0.4394998252391815,0.17676708102226257,0.18618397414684296,0.08731527626514435,0.046483103185892105,0.5844390833866985,0.5555555555555556,0.8002942488060252,0.9680235911652246,0.194186337205821
2,10000,471,66,44,0.6594450453996653,0.00958,0.07610751688480377,0.05191025882959366,0.4794165790081024,0.18682001531124115,0.19645734131336212,0.09212246537208557,0.04660869017243385,0.5429276572797206,0.8846153846153846,0.5651638452059431,0.9641758825019924,0.23992297340111277
2,11000,521,80,49,0.9866988523244856,0.009745,0.07572789490222931,0.053145039826631546,0.49291476607322693,0.2004123479127884,0.20982548594474792,0.09902919828891754,0.04679131135344505,0.589684910860505,0.8461538461538461,0.8841322245528112,0.9636428811194698,0.19024239368721052
2,12000,569,80,55,0.9970503690958022,0.010975,0.07536526769399643,0.05444163456559181,0.519172728061676,0.21239158511161804,0.22166788578033447,0.10559887439012527,0.046962007880210876,0.6058271468588363,0.7419354838709677,0.8036437648342998,0.9672089673650954,0.20588293302213762
