t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
200,13,3,0,1.0,0.5,0.0,0.9984830319881439,0.5067838919539658,0.5004978452431535,3,0.170088377417381,1.2047913074493408
400,14,3,0,0.8703210739612576,0.4984263415955805,0.0,0.9998437464237213,0.965537587024696,0.4821660967638651,3,0.11555531625510052,1.2595999240875244
600,30,3,0,1.0,0.5286252385242279,0.4,0.9993909299373627,0.9646483347002969,0.7785907534162965,3,0.1635234933860762,1.0532151460647583
800,49,5,0,0.9807710833549498,0.5389699075514804,0.6333333333333333,0.9995003044605255,0.9662791667948465,0.8916690964954854,1,0.24308469951174808,1.0274344682693481
1000,49,5,0,0.6965135230779653,0.5609119559669372,0.6551724137931034,0.9995568990707397,0.9638268531356046,0.5712079279457923,3,0.18634764253310168,0.5390821695327759
1200,64,6,1,1.0,0.5726438062171819,0.7857142857142857,0.9994101226329803,0.9644730835930713,0.8003079006878077,3,0.2151939333333917,0.9913186430931091
1400,79,8,2,0.9866916223049165,0.587388323639158,0.5,0.999800056219101,0.9658138578572636,0.8822907915397225,3,0.059888863014590454,1.2298756837844849
1600,82,11,2,0.9940850576400757,0.5508053195553122,0.4375,0.9999227821826935,0.9655387969540811,0.5779514572924849,3,0.1161139399734389,1.1024057865142822
1800,96,12,2,0.9955696437358857,0.5573082084713308,0.5,0.9996844530105591,0.9697533411899635,0.8000951192540133,3,0.2190350275514855,1.0999571084976196
2000,112,12,3,0.9748959015607833,0.5744938369841887,0.6,0.9995603561401367,0.9687059097321952,0.8979892917664922,3,0.1949440274406425,1.118529200553894
2200,114,12,4,0.9912083959102631,0.5840140175647648,0.75,0.999440461397171,0.9711719223329771,0.5872695154986219,3,0.10180604321503703,0.49621427059173584
2400,123,14,6,0.9808319215774535,0.5717007734959657,0.7142857142857143,0.9978760480880737,0.9594772364105426,0.81408963138018,1,0.3466274734871857,0.9109222292900085
