t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
200,7,0,0,0.9925269869565964,0.5,0.0,0.9971650838851929,0.209420278535104,0.46138582478151335,3,0.052516331298486804,1.165884017944336
400,11,0,0,0.9940851513385772,0.5369491793353109,0.0,0.9989760518074036,0.9794867453220478,0.4421684418524139,3,0.17290215285439806,0.6827145218849182
600,20,1,0,0.9705048445224761,0.5427608232151988,0.75,0.9980052411556244,0.9633498273328408,0.7515468186595636,3,0.10100197710440492,1.5175559520721436
800,42,9,0,0.97325060236454,0.5707057768497508,0.8333333333333334,0.9988943338394165,0.9692464371635933,0.8740702871843037,2,0.15561341746106166,0.9908937811851501
1000,42,10,2,0.668772130608559,0.5688694904300878,0.8333333333333334,0.9997136294841766,0.9726721005413105,0.5742350097871983,3,0.03432557494432071,0.2001824676990509
1200,54,13,3,0.9570870912790301,0.5731946803002997,0.8421052631578947,0.9992442727088928,0.965072816366221,0.8150307128290875,3,0.09296645557534595,1.2877508401870728
1400,70,27,4,1.0,0.5968062823796685,1.0,0.9998005628585815,0.9645172229390301,0.8951457608357118,3,0.14512005011357554,0.8671287894248962
1600,71,27,5,1.0,0.6002912108114123,0.875,0.9999631345272064,0.9655808360353317,0.5764479173185854,3,0.12751796862662643,1.0606471300125122
1800,83,30,7,1.0,0.5944126929478056,0.8695652173913043,0.9998146891593933,0.9666345502758728,0.8115353361224104,3,0.07600279289671175,1.106482982635498
2000,94,40,8,0.9645677831649782,0.5868345242444523,0.75,0.9998132586479187,0.9624612421805198,0.8781172365340149,3,0.07854518881020513,0.9896032810211182
2200,97,41,8,0.9794492090702056,0.5630719332048217,0.7857142857142857,0.9996480345726013,0.9765726421264593,0.6001398719799275,3,0.14675678744721354,0.8652927875518799
2400,112,46,8,1.0,0.5806784055752086,0.5,0.9996046423912048,0.9718853330409449,0.8184160157889413,3,0.08474540043280404,1.329827070236206
2600,126,46,8,1.0,0.5795015944414466,1.0,0.9997957050800323,0.9626990483777762,0.8990239082645924,3,0.1559738758710848,1.0533732175827026
2800,131,46,10,0.8748550933837886,0.5698051204465708,1.0,0.9997527301311493,0.9635231823523287,0.6152647748020209,3,0.040291063210841346,0.14927507936954498
