t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
200,12,4,0,1.0,0.5,0.0,0.998286247253418,0.7236587617494136,0.5215591962225667,1,0.2711867767048549,1.3229607343673706
400,14,4,0,0.7160524221420282,0.5283666523598487,0.0,0.9996557235717773,0.9656080666074964,0.4496283493041793,3,0.1457367061237098,0.2917064428329468
600,29,8,0,0.9852133979797364,0.5423098783911382,0.6666666666666666,0.9994692802429199,0.9657670022202292,0.7662938917966156,3,0.1721179793285748,1.1278231143951416
800,41,8,1,0.9955709329843522,0.5577939564468212,0.8378378378378378,0.999523252248764,0.9628655403261133,0.8807762393430845,1,0.3208106156462511,1.326459288597107
1000,42,8,3,0.7157199285030368,0.5582096080350999,0.9444444444444444,0.9989146590232849,0.9843390143887877,0.5760557602107056,3,0.07778066999243313,0.22838689386844635
1200,54,15,3,0.982265578532219,0.5652194451438681,0.88,0.9980408847332001,0.9676232627964834,0.8017680234753817,1,0.3694039579915153,1.1901562213897705
1400,68,17,5,1.0,0.5533521588308886,0.8181818181818182,0.9995492100715637,0.9665792124738809,0.8948668831182631,1,0.20621949483354346,0.8996216654777527
1600,70,17,6,0.8785954332828522,0.5547872439191064,0.6,0.999899297952652,0.9634048053376334,0.6081763199755102,3,0.10860417645351995,0.16409076750278473
1800,79,24,8,0.9916873417139054,0.570636068965504,0.8235294117647058,0.99881911277771,0.9700922328050688,0.8223891892246573,1,0.35004045730028716,0.7567785382270813
2000,95,24,9,0.9808102952480314,0.565835982561518,0.8235294117647058,0.9998146891593933,0.9643739894458706,0.8973842690731724,3,0.19486227783890872,0.6371092200279236
2200,99,25,10,0.9168242337703704,0.5745296659882707,0.9545454545454546,0.9973002672195435,0.9682914043456298,0.549319125340356,1,0.37176565797061284,0.39711612462997437
2400,109,25,10,0.9985263382911682,0.5495740111089952,0.875,0.9997732937335968,0.9614018583930584,0.7774225402217533,1,0.2570987977115145,0.8520652651786804
2600,120,30,10,0.9763377978324892,0.5314396319079535,0.875,0.9992650151252747,0.9691839600184103,0.8884189853819822,1,0.25968255739382173,1.1069341897964478
2800,120,30,11,0.6830636447906495,0.566718421951935,0.0,0.9991084635257721,0.9836189893871242,0.552295794390177,3,0.06798428932191207,0.026561126112937927
3000,136,30,11,1.0,0.5720984857234951,0.7333333333333333,0.9991830289363861,0.9684604359854518,0.7938077853943342,3,0.15848605286156658,1.6427780389785767
3200,145,30,11,0.9029831610441205,0.5502722774665239,0.9375,0.9996060132980347,0.9704222889092726,0.8869690400755851,3,0.2884921305212797,1.012325406074524
3400,147,30,12,0.9720272498369216,0.5563449111481731,0.953125,0.99760502576828,0.9660131950035846,0.5534514955830775,1,0.33869943607110015,1.2792032957077026
3600,155,30,15,0.9926132751226425,0.5632814356179313,0.9298245614035088,0.9994973540306091,0.965485640451314,0.8029233069964279,3,0.1194154641398939,1.6265965700149536
3800,171,30,15,1.0,0.5655639302036999,0.8717948717948718,0.9997004270553589,0.9711440165506127,0.8938626818361399,3,0.283549310524275,1.425374150276184
4000,173,30,16,0.980849143433571,0.5759013712934644,0.8695652173913043,0.9998801648616791,0.9678309311962867,0.5929098169791143,3,0.18968772822942875,0.5188824534416199
4200,191,30,17,0.954293941950798,0.5602363902725561,0.9736842105263158,0.9985952377319336,0.9679669872001438,0.8178893697833105,1,0.25330536659281533,1.1573519706726074
4400,204,35,18,0.9675230399847028,0.5561919761629965,0.7096774193548387,0.9995185136795044,0.9705127852035885,0.899340902420438,2,0.3924264286662718,1.419719934463501
4600,204,35,19,0.6753503320693969,0.5712484794799142,0.7368421052631579,0.9981648325920105,0.9650727894754294,0.5582219803745387,2,0.24304141351024622,0.33261838555336
4800,216,40,21,0.9985223322868347,0.5874705355443031,0.38095238095238093,0.9993440806865692,0.9625904218592121,0.8016180438945013,3,0.11699300131155968,1.1520746946334839
5000,226,40,22,0.9955605693578721,0.585715651920816,0.7142857142857143,0.999455451965332,0.9641672870958571,0.8894487158219921,3,0.15047616942281652,1.1209429502487183
5200,228,40,23,0.729500217700004,0.5783942101317527,0.7368421052631579,0.9970861375331879,0.9824943833742303,0.5519272229524468,3,0.12276149697005528,1.8414180278778076
5400,240,41,23,0.9602221391439439,0.5441603618996115,0.92,0.9981638193130493,0.9662457620989646,0.8047492065891022,1,0.25953350051049057,0.8414689302444458
5600,259,41,25,1.0,0.5601577130769069,0.8421052631578947,0.9997571408748627,0.9674587767494676,0.8972416167323816,3,0.08298876494460836,0.9297489523887634
5800,261,41,27,0.9896920799255372,0.5567612661541588,0.9166666666666666,0.9991337060928345,0.9869463358357713,0.580613893822745,3,0.26584043687972136,0.7807058095932007
6000,276,47,29,0.9764070852279662,0.5591044837256205,0.8928571428571429,0.9992146790027618,0.9638758259300294,0.8126147079733612,1,0.3926656999787793,0.8120339512825012
6200,285,50,31,1.0,0.5547402410704545,0.9743589743589743,0.9996266961097717,0.9624747579460239,0.8937580452745425,3,0.1870318684727079,1.5864417552947998
6400,286,50,32,0.9558535915613171,0.5524353468659395,0.875,0.9999017119407654,0.9757456358294759,0.5945570907245404,3,0.11243296454254069,0.2125370353460312
6600,300,50,34,1.0,0.5600510245895118,0.8857142857142857,0.9997688829898834,0.9618868388094239,0.809393728121468,3,0.16269747327795567,1.2043660879135132
6800,321,50,35,0.99556025993824,0.5641001603494094,0.782608695652174,0.9998155832290649,0.972575556191465,0.8966356294290867,3,0.13486848960194558,1.3090112209320068
7000,322,50,36,0.74214048113823,0.5712285569141095,0.8666666666666667,0.999791145324707,0.973531318096849,0.5732187429578076,3,0.14155641434386504,0.710343062877655
7200,330,50,36,0.9176528356313706,0.5244124958899973,0.7777777777777778,0.9992480874061584,0.9716519997794573,0.8094451086993872,3,0.2408417665257507,1.6139132976531982
7400,345,50,36,1.0,0.5298787702356013,0.7,0.9988998472690582,0.9623842801043511,0.8854085604912818,3,0.21174615153060833,1.5787608623504639
7600,345,50,36,0.7089705750942225,0.5442826195390218,0.5,0.9993921518325806,0.9715028381567259,0.5661955485783841,3,0.10362143447571648,0.4628075063228607
7800,355,50,36,0.9616332812786103,0.5623073050358987,0.7916666666666666,0.9993551969528198,0.9634528220548046,0.8101271276454336,2,0.18277318609784637,1.3352550268173218
8000,371,52,38,1.0,0.5721338897395828,0.7857142857142857,0.9999829530715942,0.9622649176797127,0.8886740117996139,3,0.23407016051240848,1.7260053157806396
8200,373,57,39,0.9660606544971465,0.5739446358500029,0.8108108108108109,0.9987848103046417,0.9654348459946875,0.6014427511426905,2,0.19682898079817948,0.7436954379081726
8400,382,57,41,0.9675653604507447,0.5642803059898647,0.76,0.9994495809078217,0.9674680303069085,0.807583400584988,3,0.1258741401327227,0.8912272453308105
8600,399,57,43,0.9646218406200411,0.5625868761453996,0.8666666666666667,0.9995752573013306,0.9689066547637158,0.8907549761076887,1,0.27702779038854525,1.005027413368225
8800,399,57,43,0.6913351500272747,0.5519246234417882,0.8571428571428571,0.9988477528095245,0.9701827944301822,0.5380857209176555,3,0.19890750524903159,0.4336336553096771
9000,406,57,44,0.9264559941053387,0.5462111781811501,0.6666666666666666,0.9997031986713409,0.9718050672524104,0.785396349117613,3,0.18278835949189753,1.4045376777648926
9200,421,57,44,1.0,0.5443753566144435,0.4,0.9997894763946533,0.9653293533682367,0.884152433114003,3,0.15904269939184915,1.5247257947921753
9400,422,57,44,0.710281797647476,0.5572318455329991,0.7857142857142857,0.9988523423671722,0.9706694783790751,0.5692752550140041,3,0.16489366965763574,0.23598407208919525
9600,435,57,44,0.9601802145004272,0.5565460877984866,1.0,0.9991531670093536,0.9702783329492963,0.809168957620258,3,0.24794865813200878,1.1039543151855469
9800,445,59,47,1.0,0.5813533681875207,0.95,0.9997223019599915,0.9621163986330126,0.8791959874131027,3,0.13467672523658547,1.3285326957702637
10000,447,59,48,0.7216938045740128,0.5827150232189227,0.9782608695652174,0.9997259676456451,0.9829698450520018,0.5655450619142395,3,0.24826948788369332,0.4305497705936432
10200,458,59,49,0.9867840397834778,0.5669635058162328,0.98,0.9989976584911346,0.9643667012995083,0.8065194827414714,3,0.20273909407022114,1.1465238332748413
