t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
200,9,10,0,0.9820920838832856,0.5,0.0,0.9974747598171234,0.28115423680102103,0.5009834927815977,2,0.12343386301794029,1.0251638889312744
400,10,10,0,0.7775948223590853,0.5381812464392268,0.0,0.9980879426002502,0.9705160392751588,0.44584632685438225,2,0.18642457565931073,0.4958976209163666
600,20,14,0,0.9896559834003448,0.5371601040680672,0.0,0.9998840987682343,0.9671105180799869,0.758399369492428,3,0.11602085454085621,1.0448145866394043
800,31,25,1,0.9273599219322203,0.5841477909000435,0.9375,0.9996256530284882,0.963418538910835,0.8894917027153058,3,0.06345878623636542,1.096038579940796
1000,31,25,3,0.6345109148263935,0.588615859709123,0.9375,0.998944491147995,0.9646433281589255,0.5710827135172042,3,0.06040846821146138,0.03658421337604523
1200,48,25,4,0.9392051633358003,0.5664263182171869,1.0,0.9990381598472595,0.9623008577747015,0.7958269744065898,3,0.0718127558333033,0.990752637386322
1400,60,25,5,0.9237018961429594,0.5698198209545456,1.0,0.9992956221103668,0.9657745770910929,0.8821194415989365,2,0.1414352465878669,1.0312433242797852
1600,62,26,6,0.7638432508707046,0.5670322272603443,1.0,0.9991446733474731,0.9699926165217645,0.5669310268349007,3,0.08763844693590336,0.18778887391090393
1800,80,26,6,1.0,0.5611556780149047,1.0,0.9995372295379639,0.9713550156138324,0.8005059201834512,3,0.15698584240786628,0.8565462827682495
2000,91,26,8,0.9484068763971333,0.577819162191849,0.8857142857142857,0.9990846514701843,0.9676011356517463,0.8995304910555032,2,0.21540521488101033,1.3132729530334473
2200,93,26,9,0.9254332150936129,0.5613246745208191,0.9069767441860465,0.9994530081748962,0.9793065904173582,0.5835197514861347,2,0.3079387969465332,0.15023697912693024
2400,109,26,10,0.9985248908281327,0.5601996804958953,0.8695652173913043,0.9998224675655365,0.9624801472643641,0.8109516511779932,2,0.11565778979342278,1.0751545429229736
2600,122,30,11,0.9572301009416578,0.5562346117010257,0.9117647058823529,0.9991918802261353,0.9629291412919365,0.9011609160958356,2,0.15406621659718295,0.9773576855659485
2800,122,30,11,0.6661997143745421,0.5883135513051185,0.8235294117647058,0.9981510639190674,0.9741734749788762,0.5667160465620069,2,0.13921321650276977,0.09914767742156982
3000,137,30,13,1.0,0.5636281176456921,0.896551724137931,0.9995860457420349,0.9619930987961047,0.7974265245698375,2,0.1680733931786199,1.4665305614471436
3200,151,30,14,0.9777848705530168,0.5633619187985074,0.76,0.9984148442745209,0.962923491743741,0.8997257061715396,2,0.13865630040181723,1.3499432802200317
3400,151,30,16,0.6837291509151459,0.5766564838162068,0.76,0.999494343996048,0.9891213988110644,0.5694290834810833,3,0.04289658395801157,0.952010452747345
